# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
12/26/2010	56291	122
12/26/2010	63927	3992
12/26/2010	63073	13
12/26/2010	63959	1811
12/26/2010	63961	1143
12/26/2010	63962	3150
12/26/2010	64011	540
12/26/2010	64012	79
12/26/2010	64183	103
12/26/2010	64189	45
12/26/2010	64228	35
12/26/2010	64231	85
12/26/2010	64037	478
12/26/2010	64432	279
12/26/2010	64436	2500
12/26/2010	65281	2123
12/26/2010	65283	4395
12/26/2010	65286	3299
12/26/2010	65288	3882
12/26/2010	65293	5185
12/26/2010	65305	616
12/26/2010	65306	647
12/26/2010	65307	652
12/26/2010	65308	958
12/26/2010	65309	992
12/26/2010	64961	57
12/26/2010	64966	1682
12/26/2010	64967	701
12/26/2010	64968	740
12/26/2010	64973	1345
12/26/2010	64975	2438
12/26/2010	65587	39
12/26/2010	65992	17
12/26/2010	65993	16
12/26/2010	66004	304
12/26/2010	66007	11
12/26/2010	66008	33655
12/26/2010	66011	8756
12/26/2010	66014	9364
12/26/2010	66016	23
12/26/2010	66017	20
12/26/2010	66020	842
12/26/2010	65935	1897
12/26/2010	65936	63
12/26/2010	65937	13
12/26/2010	65901	116
12/26/2010	65923	116
12/26/2010	65924	67
12/26/2010	65926	80
12/26/2010	65931	1804
12/26/2010	65932	1013
12/26/2010	65933	1173
12/26/2010	65934	39
12/26/2010	66139	6184
12/26/2010	66175	17
12/26/2010	66181	12
12/26/2010	66195	14
12/26/2010	66200	1420
12/26/2010	66239	109
12/26/2010	66241	968
12/26/2010	66244	207
12/26/2010	66249	17
12/26/2010	66259	19358
12/26/2010	66261	384
12/26/2010	66042	230
12/26/2010	66043	79
12/26/2010	66075	746
12/26/2010	66636	11
12/26/2010	66641	2104
12/26/2010	66643	2148
12/26/2010	66644	47
12/26/2010	66645	15
12/26/2010	66648	2357
12/26/2010	66649	3077
12/26/2010	66650	2392
12/26/2010	66651	5968
12/26/2010	66653	3607
12/26/2010	66654	4096
12/26/2010	66655	1566
12/26/2010	66658	4529
12/26/2010	66659	2871
12/26/2010	66672	14299
12/26/2010	66494	13
12/26/2010	66495	5329
12/26/2010	66496	5460
12/26/2010	66497	5467
12/26/2010	66499	5348
12/26/2010	66500	5304
12/26/2010	66503	179
12/26/2010	66515	514
12/26/2010	66534	4415
12/26/2010	66536	3881
12/26/2010	66541	3602
12/26/2010	66577	12040
12/26/2010	66578	7899
12/26/2010	66332	2839
12/26/2010	66335	70
12/26/2010	66336	52
12/26/2010	66338	71
12/26/2010	66351	11
12/26/2010	66446	1075
12/26/2010	66470	75
12/26/2010	66595	112
12/26/2010	66602	34
12/26/2010	66612	1835
12/26/2010	66626	152
12/26/2010	66631	24
12/26/2010	66635	60
12/26/2010	66430	18
12/26/2010	66431	12
12/26/2010	66434	13
12/26/2010	66940	101
12/26/2010	66946	14
12/26/2010	66974	1306
12/26/2010	66975	2659
12/26/2010	66976	2025
12/26/2010	66977	1955
