"Date","Tracking Code","Unique Visitors","Visits","Page Views","Product Views","Cart Additions","Checkouts","Orders","Revenue"
"January 17, 2011","",913312,1195659,2983585,52808,5340,1724,83,383236.00
"January 17, 2011","33972",1,1,1,0,0,0,0,0.00
"January 17, 2011","34528",4,4,27,0,0,0,0,0.00
"January 17, 2011","36728",493,587,4512,370,43,34,0,0.00
"January 17, 2011","36728#a1",1,1,31,0,0,0,0,0.00
"January 17, 2011","39254",4,4,8,0,0,0,0,0.00
"January 17, 2011","41012",3,6,52,0,0,0,0,0.00
"January 17, 2011","46099",1,1,3,0,0,0,0,0.00
"January 17, 2011","53161",1,1,1,0,0,0,0,0.00
"January 17, 2011","54889",2,2,2,0,0,0,0,0.00
"January 17, 2011","56126",1,1,2,1,0,0,0,0.00
"January 17, 2011","56291",8,8,8,0,0,0,0,0.00
"January 17, 2011","57019",1,1,1,0,0,0,0,0.00
"January 17, 2011","57510?intcmp=H63",1,5,79,4,0,0,0,0.00
"January 17, 2011","57673",2,5,59,0,0,0,0,0.00
"January 17, 2011","57684",1,1,1,0,0,0,0,0.00
"January 17, 2011","57691",68,97,624,6,0,0,0,0.00
"January 17, 2011","58121",1,1,1,0,0,0,0,0.00
"January 17, 2011","58542",1,2,2,0,0,0,0,0.00
"January 17, 2011","58859",2,2,2,0,0,0,0,0.00
"January 17, 2011","58861",1,1,1,0,0,0,0,0.00
"January 17, 2011","59163",1,1,1,0,0,0,0,0.00
"January 17, 2011","59201",1,1,1,0,0,0,0,0.00
"January 17, 2011","59203",1,1,1,0,0,0,0,0.00
"January 17, 2011","59207",1,1,1,0,0,0,0,0.00
"January 17, 2011","60523",1,1,1,0,0,0,0,0.00
"January 17, 2011","60658",1,1,1,0,0,0,0,0.00
"January 17, 2011","60701",1,1,1,0,0,0,0,0.00
"January 17, 2011","60705",1,1,1,0,0,0,0,0.00
"January 17, 2011","60707",1,1,1,0,0,0,0,0.00
"January 17, 2011","61105",1,1,1,0,0,0,0,0.00
"January 17, 2011","62089",1,1,1,0,0,0,0,0.00
"January 17, 2011","62176",1,1,1,0,0,0,0,0.00
"January 17, 2011","62298",1,1,1,0,0,0,0,0.00
"January 17, 2011","62299",1,1,1,0,0,0,0,0.00
"January 17, 2011","62306",4,4,4,0,0,0,0,0.00
"January 17, 2011","62924",3,3,4,0,0,0,0,0.00
"January 17, 2011","62928",1,1,1,0,0,0,0,0.00
"January 17, 2011","62933",5,5,6,0,0,0,0,0.00
"January 17, 2011","62935",1,1,1,0,0,0,0,0.00
"January 17, 2011","63043",1,1,1,0,0,0,0,0.00
"January 17, 2011","63048",1,1,1,0,0,0,0,0.00
"January 17, 2011","63050",1,1,1,0,0,0,0,0.00
"January 17, 2011","63073",1,1,1,0,0,0,0,0.00
"January 17, 2011","63085",1,1,2,0,0,0,0,0.00
"January 17, 2011","63142",2,2,2,0,0,0,0,0.00
"January 17, 2011","63169",3,3,4,0,0,0,0,0.00
"January 17, 2011","63183",4,4,4,0,0,0,0,0.00
"January 17, 2011","63210",57,71,377,41,7,4,0,0.00
"January 17, 2011","63210)",1,1,1,0,0,0,0,0.00
"January 17, 2011","63541",5,5,6,0,0,0,0,0.00
"January 17, 2011","63553",1,1,1,0,0,0,0,0.00
"January 17, 2011","63568",1,1,1,0,0,0,0,0.00
"January 17, 2011","63583",1,1,1,0,0,0,0,0.00
"January 17, 2011","63588",1,1,14,0,0,0,0,0.00
"January 17, 2011","63589",5,5,5,0,0,0,0,0.00
"January 17, 2011","63600",1,1,1,0,0,0,0,0.00
"January 17, 2011","63905",1,1,1,0,0,0,0,0.00
"January 17, 2011","63940",1091,1156,3065,557,23,7,0,0.00
"January 17, 2011","63959",3,3,3,0,0,0,0,0.00
"January 17, 2011","63961",1,1,1,0,0,0,0,0.00
"January 17, 2011","63962",4,4,5,0,0,0,0,0.00
"January 17, 2011","63966",6,6,6,0,0,0,0,0.00
"January 17, 2011","64011",508,529,945,5,0,0,0,0.00
"January 17, 2011","64012",103,103,127,1,0,0,0,0.00
"January 17, 2011","64013",3,3,3,0,0,0,0,0.00
"January 17, 2011","64015",1,1,1,0,0,0,0,0.00
"January 17, 2011","64026",1,1,4,1,0,0,0,0.00
"January 17, 2011","64027",2,2,2,0,0,0,0,0.00
"January 17, 2011","64037",384,428,1633,340,12,7,0,0.00
"January 17, 2011","64117",12,12,14,0,0,0,0,0.00
"January 17, 2011","64118",2,2,2,0,0,0,0,0.00
"January 17, 2011","64121",3,3,3,0,0,0,0,0.00
"January 17, 2011","64122",2,2,2,0,0,0,0,0.00
"January 17, 2011","64125",1,1,1,0,0,0,0,0.00
"January 17, 2011","64136",1,1,1,0,0,0,0,0.00
"January 17, 2011","64141",5,5,5,0,0,0,0,0.00
"January 17, 2011","64157",1,1,1,0,0,0,0,0.00
"January 17, 2011","64164",3,3,3,0,0,0,0,0.00
"January 17, 2011","64175",2,2,2,0,0,0,0,0.00
"January 17, 2011","64178",1,1,1,0,0,0,0,0.00
"January 17, 2011","64183",102,115,181,4,1,0,0,0.00
"January 17, 2011","64183#a3",1,1,1,0,0,0,0,0.00
"January 17, 2011","64184",1,1,9,0,0,0,0,0.00
"January 17, 2011","64185",11,11,11,0,0,0,0,0.00
"January 17, 2011","64186",8,8,9,0,0,0,0,0.00
"January 17, 2011","64189",10,9,15,0,0,0,0,0.00
"January 17, 2011","64192",3,3,4,0,0,0,0,0.00
"January 17, 2011","64194",6,6,6,0,0,0,0,0.00
"January 17, 2011","64197",1,1,1,0,0,0,0,0.00
"January 17, 2011","64199",2,2,2,0,0,0,0,0.00
"January 17, 2011","64202",4,4,4,0,0,0,0,0.00
"January 17, 2011","64204",6,6,8,0,0,0,0,0.00
"January 17, 2011","64207",2,2,2,0,0,0,0,0.00
"January 17, 2011","64208",7,7,7,0,0,0,0,0.00
"January 17, 2011","64209",2,2,2,0,0,0,0,0.00
"January 17, 2011","64210",1,1,1,0,0,0,0,0.00
"January 17, 2011","64212",15,15,15,0,0,0,0,0.00
"January 17, 2011","64213",8,8,8,0,0,0,0,0.00
"January 17, 2011","64215",8,8,8,0,0,0,0,0.00
"January 17, 2011","64223",1,1,1,0,0,0,0,0.00
"January 17, 2011","64225",1,1,1,0,0,0,0,0.00
"January 17, 2011","64226",1,1,1,0,0,0,0,0.00
"January 17, 2011","64227",3,3,9,0,0,0,0,0.00
"January 17, 2011","64228",1,1,1,0,0,0,0,0.00
"January 17, 2011","64229",1,1,1,0,0,0,0,0.00
"January 17, 2011","64231",1,1,1,0,0,0,0,0.00
"January 17, 2011","64235",5,5,5,0,0,0,0,0.00
"January 17, 2011","64241",2,2,2,0,0,0,0,0.00
"January 17, 2011","64243",3,3,3,0,0,0,0,0.00
"January 17, 2011","64244",1,1,1,0,0,0,0,0.00
"January 17, 2011","64251",1,1,1,0,0,0,0,0.00
"January 17, 2011","64252",13,13,15,0,0,0,0,0.00
"January 17, 2011","64254",3,3,3,0,0,0,0,0.00
"January 17, 2011","64256",7,7,18,0,0,0,0,0.00
"January 17, 2011","64258",2,2,2,0,0,0,0,0.00
"January 17, 2011","64260",7,7,7,0,0,0,0,0.00
"January 17, 2011","64283",1,1,1,0,0,0,0,0.00
"January 17, 2011","64298",5,5,6,0,0,0,0,0.00
"January 17, 2011","64306",1,1,1,0,0,0,0,0.00
"January 17, 2011","64308",5,5,5,0,0,0,0,0.00
"January 17, 2011","64308#a3",1,1,1,0,0,0,0,0.00
"January 17, 2011","64323",1,4,7,0,0,0,0,0.00
"January 17, 2011","64332",2,2,3,0,0,0,0,0.00
"January 17, 2011","64420",1,1,1,0,0,0,0,0.00
"January 17, 2011","64425",10,10,10,0,0,0,0,0.00
"January 17, 2011","64430",1,1,1,0,0,0,0,0.00
"January 17, 2011","64436",2820,2991,9830,363,29,10,0,0.00
"January 17, 2011","64972",2,2,2,0,0,0,0,0.00
"January 17, 2011","64973",2366,2584,10273,357,35,15,0,0.00
"January 17, 2011","65279",1,1,1,0,0,0,0,0.00
"January 17, 2011","65292",1015,1114,1592,2,0,0,0,0.00
"January 17, 2011","65538",1,1,1,0,0,0,0,0.00
"January 17, 2011","65906",202,247,912,22,0,0,0,0.00
"January 17, 2011","65907",162,204,666,30,2,0,0,0.00
"January 17, 2011","65911",68,105,255,6,0,0,0,0.00
"January 17, 2011","65913",1,1,1,0,0,0,0,0.00
"January 17, 2011","65914",1,1,13,0,0,0,0,0.00
"January 17, 2011","65915",118,132,237,0,0,0,0,0.00
"January 17, 2011","65918",81,85,145,1,0,0,0,0.00
"January 17, 2011","65924",15,26,60,0,0,0,0,0.00
"January 17, 2011","65927",80,95,158,0,0,0,0,0.00
"January 17, 2011","65928",6,6,11,0,0,0,0,0.00
"January 17, 2011","65929",1140,1249,1769,0,0,0,0,0.00
"January 17, 2011","65931",60,61,62,0,0,0,0,0.00
"January 17, 2011","65932",44,44,44,0,0,0,0,0.00
"January 17, 2011","65933",42,42,42,0,0,0,0,0.00
"January 17, 2011","65934",32,36,155,5,0,0,0,0.00
"January 17, 2011","66167",1,1,1,0,0,0,0,0.00
"January 17, 2011","66170",1,1,1,0,0,0,0,0.00
"January 17, 2011","66317",12,18,69,3,1,1,0,0.00
"January 17, 2011","66321",189,196,432,17,2,1,0,0.00
"January 17, 2011","66323",3478,3558,4110,45,2,1,0,0.00
"January 17, 2011","66332",6600,6679,7658,18,3,0,0,0.00
"January 17, 2011","66335",18,30,62,2,0,0,0,0.00
"January 17, 2011","66336",21,26,87,9,0,0,0,0.00
"January 17, 2011","66338",1,1,1,0,0,0,0,0.00
"January 17, 2011","66339",3219,3273,3468,9,0,1,0,0.00
"January 17, 2011","66341",159,209,926,23,1,0,0,0.00
"January 17, 2011","66342",1103,1104,1673,9,0,0,0,0.00
"January 17, 2011","66344",2034,2048,2202,2,0,0,0,0.00
"January 17, 2011","66346",1078,1078,1258,0,0,0,0,0.00
"January 17, 2011","66357",1,2,2,0,0,0,0,0.00
"January 17, 2011","66359",12,12,17,0,0,0,0,0.00
"January 17, 2011","66470",23,24,48,10,0,0,0,0.00
"January 17, 2011","66502",1,1,1,0,0,0,0,0.00
"January 17, 2011","66503",2,2,2,0,0,0,0,0.00
"January 17, 2011","66509",79,109,282,19,2,1,0,0.00
"January 17, 2011","66513",18,21,65,1,0,0,0,0.00
"January 17, 2011","66514",6,7,45,2,0,1,0,0.00
"January 17, 2011","66636",2,2,20,0,0,0,0,0.00
"January 17, 2011","66948",40,56,149,20,2,0,0,0.00
"January 17, 2011","66949",28,35,126,9,4,0,0,0.00
"January 17, 2011","66950",172,186,510,27,1,0,0,0.00
"January 17, 2011","66963",57,57,90,0,0,0,0,0.00
"January 17, 2011","66973",1,1,1,0,0,0,0,0.00
"January 17, 2011","66974",1,1,1,0,0,0,0,0.00
"January 17, 2011","66976",2,2,2,0,0,0,0,0.00
"January 17, 2011","66977",4,4,4,0,0,0,0,0.00
"January 17, 2011","67295",65,76,292,20,2,0,0,0.00
"January 17, 2011","67296",2967,3031,3255,15,0,0,0,0.00
"January 17, 2011","67299",4304,4386,4878,81,6,0,0,0.00
"January 17, 2011","67299#",1,2,4,2,0,0,0,0.00
"January 17, 2011","67300",2958,3011,3169,7,2,0,0,0.00
"January 17, 2011","67301",4,4,8,0,0,0,0,0.00
"January 17, 2011","67302",8,8,31,4,0,0,0,0.00
"January 17, 2011","67304",1746,1769,2057,14,0,0,0,0.00
"January 17, 2011","67305",1684,1710,2133,16,1,0,0,0.00
"January 17, 2011","67306",1843,1883,2484,7,0,0,0,0.00
"January 17, 2011","67307",2570,2608,3296,52,2,0,0,0.00
"January 17, 2011","67308",1,1,1,0,0,0,0,0.00
"January 17, 2011","67309",1743,1774,2222,9,0,0,0,0.00
"January 17, 2011","67310",51,69,270,14,0,0,0,0.00
"January 17, 2011","67312",683,683,704,0,0,0,0,0.00
"January 17, 2011","67314",807,807,829,0,0,0,0,0.00
"January 17, 2011","67315",15613,16791,22517,332,252,1,0,0.00
"January 17, 2011","67316",199,234,358,10,0,0,0,0.00
"January 17, 2011","67317",48,55,76,0,0,0,0,0.00
"January 17, 2011","67318",3984,4166,5484,71,52,0,0,0.00
"January 17, 2011","67321",59,70,100,3,0,0,0,0.00
"January 17, 2011","67322",7393,12055,26410,1571,2,0,0,0.00
"January 17, 2011","67322#",151,201,256,6,0,0,0,0.00
"January 17, 2011","67386",227,279,889,22,4,1,0,0.00
"January 17, 2011","67387",25486,26050,48730,234,30,15,0,0.00
"January 17, 2011","67388",15839,16148,29351,82,2,0,0,0.00
"January 17, 2011","67389",16147,16346,28899,24,2,0,0,0.00
"January 17, 2011","67391",2801,2908,6438,89,6,2,0,0.00
"January 17, 2011","67392",15192,15509,31136,116,11,3,0,0.00
"January 17, 2011","67393",85,130,319,15,1,0,0,0.00
"January 17, 2011","67394",17106,18777,45085,1000,103,28,0,0.00
"January 17, 2011","67395",8,8,8,0,0,0,0,0.00
"January 17, 2011","67396",12,14,47,0,0,0,0,0.00
"January 17, 2011","67397",43,59,271,2,0,0,0,0.00
"January 17, 2011","67399",4758,4833,6354,0,0,0,0,0.00
"January 17, 2011","67400",27,42,90,2,0,0,0,0.00
"January 17, 2011","67401",16,19,35,2,0,0,0,0.00
"January 17, 2011","67402",3813,3826,5140,5,1,0,0,0.00
"January 17, 2011","67403",1214,1360,2099,14,0,0,0,0.00
"January 17, 2011","67404",6719,7445,15745,13,0,0,0,0.00
"January 17, 2011","67405",239,256,449,2,0,0,0,0.00
"January 17, 2011","67407",8005,12517,31857,340,0,0,0,0.00
"January 17, 2011","67408",4,4,44,0,0,0,0,0.00
"January 17, 2011","67410",6,7,16,2,0,0,0,0.00
"January 17, 2011","67410360seURL\\Shell\\Open\\Command",1,1,3,0,0,0,0,0.00
